Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
0.64525,1.2101954696797081,2.8364445961345273,1.5630280825976999,"[-0.5261919, -0.59446055, -0.54473394, -0.5662999, -0.5818624, -0.6030109, -0.61309105, -0.58772856, -0.5135128, -0.41543728, -0.3216007, -0.22608303, -0.12795496, -0.027815131, 0.08386636, 0.19451948, 0.3027528, 0.3983672, 0.4773528, 0.53947496, 0.5917513, 0.6346858, 0.6682801, 0.6923974, 0.70771277, 0.71674323, 0.7209167, 0.72126496, 0.71872467, 0.71412593, 0.7080983, 0.70117223, 0.69381213, 0.6863978, 0.67921823, 0.6724684, 0.6662762, 0.6607229, 0.6558484, 0.6516595, 0.6481376, 0.6452453]",[3.4339287 2.729351  2.6507113 ... 2.9400208 2.9642758 0.7696413]
-0.35242,1.184538962457313,2.7664687682158062,1.463838927039871,"[-1.1960187, -1.3773936, -1.4106221, -1.3657082, -1.2594993, -1.1392332, -1.0495745, -0.9931593, -0.91177344, -0.8210531, -0.737265, -0.6564125, -0.5825101, -0.51634455, -0.45891786, -0.4102791, -0.3698848, -0.3370316, -0.311522, -0.29268008, -0.27966028, -0.27168328, -0.26792374, -0.2676028, -0.269985, -0.27440408, -0.2802725, -0.28708416, -0.29440784, -0.3018898, -0.30924833, -0.3162667, -0.32278645, -0.32870007, -0.33394322, -0.33848768, -0.34233418, -0.34550625, -0.34804448, -0.35000145, -0.35143763, -0.3524174]",[3.453731   2.72653    2.6303077  ... 3.0845296  3.0162544  0.08017084]
0.06003,1.1819118162573403,2.7814458540117313,1.4931341926942667,"[-0.7495043, -0.7909031, -0.8282105, -0.8681869, -0.8812089, -0.8539665, -0.7918097, -0.73415524, -0.6598622, -0.56538856, -0.4819799, -0.40387797, -0.3293489, -0.25866154, -0.1909214, -0.12453024, -0.058558665, 0.003501149, 0.05017362, 0.0851076, 0.111257315, 0.12899333, 0.13938734, 0.14365308, 0.14307809, 0.13884309, 0.1321951, 0.12480581, 0.1175286, 0.1103981, 0.10355979, 0.097045064, 0.09104313, 0.08566753, 0.08092675, 0.076783486, 0.07317698, 0.070043914, 0.0672324, 0.06466158, 0.062270332, 0.060033944]",[3.6212153  2.9159377  2.741381   ... 3.2769728  3.262811   0.62870896]
-1.51446,1.1903079400109198,2.774845354521611,1.4255561026791206,"[-0.7428782, -0.90669596, -1.0161858, -1.1503719, -1.2554541, -1.3447759, -1.4394974, -1.5456022, -1.598735, -1.5972297, -1.6014366, -1.6080503, -1.6111577, -1.6128963, -1.612944, -1.6119885, -1.6097767, -1.6057162, -1.6002159, -1.5946202, -1.5893017, -1.5840516, -1.5789162, -1.5739263, -1.5690893, -1.564409, -1.5598879, -1.5555477, -1.5514183, -1.547507, -1.543803, -1.5402972, -1.5369823, -1.5338509, -1.5308945, -1.5281047, -1.5254753, -1.5229983, -1.5206668, -1.5184718, -1.5164073, -1.5144647]",[3.408585  2.6914425 2.577839  ... 3.1645133 3.1031766 0.6803065]
-0.94108,1.1906096678100824,2.793214693566953,1.5068373735639584,"[-0.84644645, -0.80486333, -0.78296256, -0.79118377, -0.818028, -0.86570495, -0.92311496, -0.95662427, -0.9613563, -0.96748656, -0.97621655, -0.9797102, -0.98132086, -0.9806979, -0.97864735, -0.9756327, -0.9721346, -0.96851104, -0.96489364, -0.9613245, -0.95795727, -0.9548886, -0.9521426, -0.9497431, -0.9476851, -0.94595546, -0.9445311, -0.94338363, -0.9424827, -0.9417962, -0.9412919, -0.9409399, -0.94071263, -0.9405844, -0.94053316, -0.94054043, -0.9405896, -0.9406679, -0.94076383, -0.9408689, -0.94097674, -0.9410821]",[3.3408568  2.643828   2.548005   ... 2.8905072  3.0956771  0.53263676]
-0.26571,1.2060086383322348,2.826466368669089,1.493650541390136,"[-1.0512722, -1.2158011, -1.277695, -1.3044391, -1.2597448, -1.1663426, -1.0380927, -0.8967055, -0.7948489, -0.71036726, -0.62353486, -0.54442286, -0.47360337, -0.41340357, -0.3629537, -0.32128337, -0.28699335, -0.25868362, -0.23595053, -0.21830484, -0.20501323, -0.1954757, -0.1891157, -0.18543892, -0.18400781, -0.18444362, -0.18640861, -0.18959507, -0.19373637, -0.19860435, -0.20400271, -0.20976439, -0.2157479, -0.2218346, -0.22792615, -0.23394236, -0.23981886, -0.24550492, -0.25096166, -0.25616026, -0.2610806, -0.26570988]",[3.3556793 2.7209451 2.595607  ... 2.9543116 3.0493455 0.4726906]
-0.56499,1.178770648036076,2.7694407806792434,1.438890368437145,"[-0.9364218, -1.1014178, -1.2146068, -1.3137167, -1.3658628, -1.3631724, -1.3095212, -1.2377801, -1.1796472, -1.1143821, -1.0526531, -0.99722886, -0.9476683, -0.9042665, -0.8663487, -0.8329798, -0.80312634, -0.7762731, -0.7523757, -0.73090255, -0.71160764, -0.69427973, -0.6787263, -0.66479, -0.65232563, -0.6411953, -0.63126457, -0.6224091, -0.6145224, -0.607502, -0.6012557, -0.5957004, -0.59076077, -0.58637, -0.58246803, -0.57900137, -0.5759219, -0.57318693, -0.5707583, -0.56860197, -0.5666877, -0.5649888]",[3.4977036 2.8161898 2.6171699 ... 3.0429552 3.0384505 0.319098 ]
-0.58914,1.1735604956250696,2.8078339567796333,1.456973752037434,"[-1.193139, -1.4282352, -1.5140586, -1.582179, -1.6078873, -1.6316833, -1.6617845, -1.6593385, -1.5681705, -1.4864681, -1.4073014, -1.3302417, -1.2571901, -1.1877875, -1.1226584, -1.0615594, -1.0043797, -0.9514913, -0.90396965, -0.86137307, -0.8234843, -0.79000187, -0.7606023, -0.73496413, -0.7127583, -0.69366944, -0.67739344, -0.66363186, -0.65208364, -0.6423288, -0.6339909, -0.6268095, -0.62058055, -0.6151467, -0.6103819, -0.6061835, -0.6024674, -0.5991627, -0.596217, -0.5935881, -0.5912392, -0.58913857]",[3.563731   2.8636014  2.7453585  ... 3.2966921  3.2765684  0.31252947]
1.79611,1.1656832347044916,2.7527470053637275,1.4821256139272188,"[-0.4847838, -0.37810713, -0.23009512, -0.16597405, -0.13416855, -0.1327509, -0.14526321, -0.149396, -0.087552674, -0.006408533, 0.08141936, 0.19372894, 0.30336526, 0.41785842, 0.5342733, 0.6510783, 0.7672384, 0.8819877, 0.9927019, 1.0974817, 1.1950824, 1.2846674, 1.36621, 1.4394962, 1.5046335, 1.561926, 1.611753, 1.6545309, 1.690746, 1.7209253, 1.7456127, 1.7653536, 1.7806805, 1.7921124, 1.8001418, 1.8052349, 1.8078262, 1.8083174, 1.8070756, 1.8044342, 1.8006916, 1.7961134]",[3.4725103 2.786988  2.6464055 ... 3.0124319 3.1801212 0.8421886]
-0.71442,1.1980269736691838,2.8037110040844606,1.5468532886953703,"[-0.31286275, -0.3172115, -0.3144861, -0.43931338, -0.59468055, -0.74018365, -0.83985555, -0.88314706, -0.8671599, -0.82893693, -0.8121002, -0.7960296, -0.7870069, -0.7808007, -0.7753228, -0.7691082, -0.7617531, -0.75376844, -0.7465378, -0.7408707, -0.7361991, -0.7324736, -0.7294357, -0.72688997, -0.724706, -0.7228174, -0.7212066, -0.7198738, -0.71879375, -0.71791655, -0.71720666, -0.71662986, -0.7161588, -0.7157722, -0.7154554, -0.71519685, -0.71498775, -0.7148192, -0.71468353, -0.71457434, -0.71448636, -0.7144156]",[3.3793907 2.7693954 2.5575736 ... 2.947017  3.0535307 0.8400082]
