Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
0.7265,1.203221687,2.853449158,1.588405905,"[-0.7871696, -0.8615484, -0.82689416, -0.80942154, -0.7571166, -0.6847986, -0.59173995, -0.48537, -0.36592877, -0.23747179, -0.09567492, 0.061318446, 0.23510769, 0.4113299, 0.5959991, 0.7895293, 0.9867073, 1.1749823, 1.3455334, 1.4904231, 1.6034037, 1.6805682, 1.7187095, 1.7168552, 1.6759354, 1.5990815, 1.4912462, 1.3590214, 1.2102948, 1.0537735, 0.89843345, 0.75306535, 0.62536365, 0.52186036, 0.4473638, 0.40465194, 0.39434677, 0.41498458, 0.4633963, 0.5350901, 0.6247187, 0.72650146]",[3.6285524 2.9749513 2.7506928 ... 2.9961395 3.266175  0.8027334]
0.03341,1.194549271,2.796875457,1.56030086,"[-0.8288642, -0.9920318, -1.05112, -1.1004869, -1.1148193, -1.1058326, -1.0839149, -1.0464907, -1.0016527, -0.94920564, -0.8890563, -0.83116066, -0.7719482, -0.710407, -0.64305866, -0.5698979, -0.49901888, -0.43772078, -0.37899002, -0.32252228, -0.268764, -0.21758975, -0.16909258, -0.123379365, -0.08090018, -0.041659996, -0.004595984, 0.026900563, 0.05097011, 0.065907836, 0.072034344, 0.071731426, 0.06581765, 0.05561494, 0.043134883, 0.030858368, 0.022146814, 0.018076077, 0.01841249, 0.022081845, 0.027637407, 0.033414774]",[3.4198933 2.8294854 2.6074898 ... 2.9524484 3.2081401 0.7223499]
0.62888,1.185554984,2.81475717,1.546081773,"[-0.45877248, -0.5608945, -0.61027396, -0.69064415, -0.7379785, -0.7640258, -0.7703221, -0.7582191, -0.73372495, -0.6975888, -0.6522362, -0.6030441, -0.55027807, -0.49632853, -0.440063, -0.38155037, -0.32389316, -0.27227256, -0.22519352, -0.18240906, -0.14409012, -0.11065678, -0.08144107, -0.05607631, -0.034069166, -0.014833128, 0.0031030644, 0.026025988, 0.060522668, 0.114803545, 0.18144119, 0.25332132, 0.32420754, 0.39137578, 0.45189208, 0.50422925, 0.5474638, 0.58126915, 0.6057523, 0.6213575, 0.62877685, 0.62887955]",[3.5413508  2.8687146  2.6898468  ... 2.9373548  3.111803   0.91860855]
-0.55533,1.193667437,2.794876804,1.528791348,"[-0.56010354, -0.63903326, -0.6951774, -0.82699025, -0.9483144, -1.061271, -1.1572771, -1.2319182, -1.284561, -1.3141816, -1.3196076, -1.3062711, -1.273067, -1.2202443, -1.1481135, -1.0595765, -0.96325254, -0.8640111, -0.7548988, -0.6441328, -0.5341687, -0.42500323, -0.3193999, -0.21978754, -0.12871416, -0.04846721, 0.024265442, 0.07576164, 0.10373117, 0.10239752, 0.08023862, 0.04131023, -0.01221953, -0.065369606, -0.12102005, -0.18401918, -0.25115758, -0.31959736, -0.38686034, -0.45005322, -0.50684047, -0.5553255]",[3.5770023  2.9444761  2.7270935  ... 3.1238303  3.292019   0.83356094]
1.33444,1.189862287,2.839499626,1.468742417,"[-1.0491465, -1.2358989, -1.3056669, -1.3933344, -1.447005, -1.485708, -1.5038707, -1.5028186, -1.4833801, -1.4476311, -1.3972335, -1.3361254, -1.2648941, -1.1853231, -1.0986825, -1.0077947, -0.9170848, -0.8299972, -0.7457968, -0.65938896, -0.5718598, -0.48257414, -0.39128876, -0.29755417, -0.20094024, -0.10100391, 0.002772864, 0.120795585, 0.26295057, 0.41589105, 0.5559929, 0.6791587, 0.789921, 0.8890066, 0.9774241, 1.055705, 1.124304, 1.1836425, 1.2341849, 1.2761662, 1.3094177, 1.3344406]",[3.5072112 2.7922485 2.6402278 ... 3.1900969 3.196361  0.5530284]
-1.1582,1.191402599,2.805842303,1.499435942,"[-0.77543795, -0.8955305, -1.0177649, -1.1184977, -1.1868861, -1.2175114, -1.2066795, -1.1643981, -1.0999098, -1.0228909, -0.94706166, -0.8772076, -0.82072854, -0.78462696, -0.77495074, -0.79763794, -0.85261536, -0.92674804, -1.009425, -1.0937136, -1.1751986, -1.2487432, -1.3101255, -1.3562231, -1.3855345, -1.398611, -1.396401, -1.3807943, -1.3543738, -1.3201689, -1.2814616, -1.241545, -1.2034856, -1.1699163, -1.1428248, -1.1234521, -1.1123401, -1.109365, -1.1138101, -1.124477, -1.1398389, -1.1581988]",[3.4065876 2.6152804 2.524934  ... 3.0310698 3.2177196 0.560477 ]
-0.70128,1.187314251,2.802518387,1.453001709,"[-1.1632051, -1.5388817, -1.8768404, -2.1931887, -2.4417977, -2.6253858, -2.750248, -2.8215003, -2.850895, -2.8465211, -2.8170476, -2.7714548, -2.7130542, -2.6454856, -2.5730827, -2.4993298, -2.4266233, -2.3609595, -2.2932696, -2.224055, -2.1534874, -2.0817914, -2.009211, -1.9360172, -1.8624598, -1.7887723, -1.7151428, -1.6415899, -1.5682492, -1.4952623, -1.4227846, -1.3509793, -1.280012, -1.2100419, -1.141217, -1.0736736, -1.0075207, -0.9428748, -0.87984145, -0.81851363, -0.7589707, -0.701279]",[3.445449  2.725234  2.6499712 ... 3.0048716 3.1418662 0.4878927]
-0.82562,1.181869169,2.800678529,1.504938546,"[-0.6871072, -0.5990655, -0.5111094, -0.43359184, -0.36404407, -0.30553725, -0.2591962, -0.22750255, -0.21194813, -0.21209806, -0.22871673, -0.25932732, -0.3006293, -0.35098994, -0.40754113, -0.46806064, -0.52971816, -0.5829454, -0.6228998, -0.65367526, -0.67658603, -0.6935703, -0.70608646, -0.7154318, -0.72269195, -0.72875077, -0.7342887, -0.7397897, -0.7455466, -0.7516878, -0.75823104, -0.7651143, -0.77221817, -0.7793855, -0.7864518, -0.7932644, -0.79972136, -0.8057785, -0.8113984, -0.8165684, -0.8213011, -0.825625]",[3.416185  2.7190204 2.5565662 ... 2.8667614 3.060694  0.6678173]
1.00567,1.177146293,2.764378046,1.508759187,"[-0.6362453, -0.52552193, -0.37444705, -0.281646, -0.21249735, -0.16626978, -0.1339426, -0.10938345, -0.08944982, -0.06829879, -0.042100903, -0.009615552, 0.030115489, 0.08412685, 0.16406333, 0.26461, 0.3816928, 0.50476336, 0.6255182, 0.7423618, 0.85464066, 0.96009994, 1.0577221, 1.1464874, 1.2255727, 1.2942591, 1.35196, 1.3982159, 1.4327195, 1.4553349, 1.4660988, 1.4652096, 1.4530993, 1.4304906, 1.3982617, 1.3574682, 1.3093067, 1.2550746, 1.1961467, 1.1339552, 1.0699697, 1.0056672]",[3.3387637  2.6277997  2.472287   ... 2.8850224  3.044547   0.68347144]
0.49891,1.186737782,2.804429007,1.494685298,"[-0.7867396, -0.7970614, -0.79240143, -0.80954003, -0.81486523, -0.80540836, -0.7831287, -0.74800307, -0.704761, -0.6535036, -0.59548545, -0.5347819, -0.47212633, -0.40934163, -0.34346312, -0.27097458, -0.19417721, -0.12142387, -0.051289983, 0.020722998, 0.091428295, 0.14176102, 0.18560216, 0.22572613, 0.2631207, 0.29826027, 0.331216, 0.36190164, 0.3901504, 0.41577464, 0.43858862, 0.45852762, 0.4755257, 0.4895243, 0.5004999, 0.5084566, 0.51342237, 0.5154517, 0.51470804, 0.51143813, 0.5060606, 0.4989083]",[3.400295  2.662353  2.5469503 ... 2.8415487 3.0205414 0.5948194]
-0.38679,1.204847783,2.814071069,1.530154929,"[-0.8685534, -0.99140465, -1.1135058, -1.2284504, -1.3179786, -1.3794731, -1.4081262, -1.4102468, -1.3873096, -1.3451754, -1.2891159, -1.2192357, -1.1419048, -1.062319, -0.98581403, -0.91650295, -0.85482955, -0.79464734, -0.738506, -0.6913325, -0.6525174, -0.62040323, -0.5939617, -0.572088, -0.55373263, -0.5379562, -0.5239767, -0.5111854, -0.49914643, -0.4875788, -0.47634706, -0.4654242, -0.45485115, -0.44470394, -0.4350649, -0.42601162, -0.417625, -0.40997326, -0.40308422, -0.3969504, -0.39153808, -0.3867942]",[3.4137187  2.7591906  2.5749352  ... 3.1348526  3.2489178  0.58041114]
0.84492,1.17250468,2.745958974,1.459461585,"[-0.84612066, -0.9380833, -0.95042133, -0.97476315, -0.9761914, -0.9600868, -0.92308044, -0.87118816, -0.8048885, -0.72626466, -0.6371564, -0.5378235, -0.43025708, -0.31668907, -0.20017347, -0.08237712, 0.039445627, 0.1646508, 0.2827424, 0.38934335, 0.4826572, 0.5636624, 0.6310905, 0.6848747, 0.72577107, 0.75530976, 0.7753593, 0.7879102, 0.7948903, 0.7983526, 0.8003422, 0.80200016, 0.80405563, 0.80686814, 0.81049347, 0.81479937, 0.81965065, 0.82481533, 0.83008635, 0.83529115, 0.84026885, 0.8449155]",[3.4346733 2.8069685 2.649305  ... 3.2231905 3.180809  0.6047852]
0.45415,1.191186513,2.842026309,1.488513273,"[-0.71697116, -0.7643105, -0.8173013, -0.8897966, -0.95074546, -0.994084, -1.0232651, -1.0327485, -1.0260941, -1.0024424, -0.96196485, -0.9110823, -0.85008335, -0.7801025, -0.7003392, -0.6092293, -0.51071715, -0.42217878, -0.35232025, -0.28755856, -0.22954024, -0.18144336, -0.14363155, -0.11519786, -0.09241082, -0.07366549, -0.05730804, -0.04275296, -0.025603063, -0.0035972148, 0.024523977, 0.055750832, 0.09521267, 0.13706186, 0.1802613, 0.22406092, 0.26785666, 0.31065094, 0.35151127, 0.389578, 0.42403734, 0.4541455]",[3.5685728  2.8502038  2.6867607  ... 3.001233   3.1699414  0.55504584]
0.13262,1.207558067,2.846706349,1.550586363,"[-0.75836074, -0.85203886, -0.9680258, -1.1036463, -1.2127903, -1.2882274, -1.3246704, -1.3163762, -1.2695222, -1.1890187, -1.0833464, -0.96243966, -0.82922757, -0.6897931, -0.55173945, -0.42177486, -0.30777878, -0.21322325, -0.12936874, -0.049672294, 0.02857958, 0.08384065, 0.118183054, 0.13819173, 0.14853755, 0.1508555, 0.14670095, 0.13829574, 0.12715584, 0.11466628, 0.10215378, 0.09190084, 0.08504514, 0.08198104, 0.08286694, 0.08724895, 0.09425763, 0.10278997, 0.11165911, 0.11978261, 0.1269903, 0.1326169]",[3.5047717 2.7739363 2.686602  ... 3.108017  3.230555  0.7159221]
-0.50075,1.221464043,2.955814103,1.547829239,"[-0.73455983, -0.83109444, -0.84346503, -0.8987899, -0.93511415, -0.96047515, -0.9734225, -0.97080016, -0.95492727, -0.9267542, -0.88591665, -0.83954895, -0.7881752, -0.7317407, -0.6697634, -0.6035358, -0.5408203, -0.48498124, -0.43574488, -0.39219978, -0.35373014, -0.32056755, -0.29289335, -0.27115858, -0.25577807, -0.24713829, -0.2455127, -0.2510428, -0.26372853, -0.28259796, -0.30511373, -0.329392, -0.35418317, -0.37854704, -0.40177035, -0.42329445, -0.44271952, -0.45976228, -0.474242, -0.4859331, -0.49475256, -0.50075305]",[3.6239002 2.9688404 2.7385268 ... 3.2091048 3.3259716 0.8223004]
-0.92843,1.173106725,2.775014229,1.43069217,"[-1.17593, -1.3920417, -1.5081047, -1.5937853, -1.6329415, -1.6363914, -1.6077219, -1.5539635, -1.4793034, -1.3911674, -1.2959294, -1.1962669, -1.0980465, -1.0041019, -0.9224398, -0.8591888, -0.8123315, -0.77414536, -0.74537724, -0.72287375, -0.70707023, -0.69758976, -0.6938275, -0.6951445, -0.70084345, -0.71022284, -0.7225846, -0.73725, -0.7535721, -0.77095044, -0.7888347, -0.8067379, -0.82423925, -0.84099984, -0.8567617, -0.87133056, -0.88455224, -0.8963274, -0.9065988, -0.915352, -0.9226108, -0.9284289]",[3.4360151  2.6944828  2.5580778  ... 3.3546581  3.3263109  0.27751043]
-0.93069,1.191486689,2.806050314,1.540347146,"[-0.6798268, -0.7402183, -0.79647374, -0.862099, -0.91506124, -0.9573907, -0.9918194, -1.0156946, -1.0327027, -1.0409263, -1.0409939, -1.0351504, -1.0218108, -1.0026234, -0.97729653, -0.9462699, -0.9116361, -0.8758915, -0.84344804, -0.81422156, -0.7876451, -0.76667535, -0.7518872, -0.74385786, -0.7426959, -0.7481748, -0.75970685, -0.7763952, -0.7971046, -0.82053304, -0.84530723, -0.8700625, -0.89351344, -0.91452175, -0.93213737, -0.9456365, -0.9545439, -0.95864, -0.95795363, -0.9527331, -0.94343376, -0.93069005]",[3.509107  2.7178452 2.677023  ... 3.183341  3.3638237 0.8341784]
-0.44076,1.186498243,2.788857364,1.498941965,"[-0.8908179, -1.0203677, -1.110912, -1.1904538, -1.2326196, -1.239558, -1.2153244, -1.1647996, -1.0931919, -1.0048432, -0.90360415, -0.79620826, -0.6882757, -0.5840744, -0.4858091, -0.39469898, -0.314615, -0.2538882, -0.21238855, -0.19289431, -0.19288194, -0.20840952, -0.23587301, -0.27151316, -0.3117496, -0.35345918, -0.3939632, -0.4312402, -0.4637268, -0.49037784, -0.5106204, -0.52429265, -0.5315897, -0.53300613, -0.52927446, -0.52129996, -0.51008844, -0.49669093, -0.4821471, -0.46742833, -0.4533949, -0.44075564]",[3.5025132  2.8929436  2.6818943  ... 2.8431818  3.0384758  0.43253005]
-0.79454,1.227921232,2.891963467,1.642058514,"[-0.53727216, -0.8102698, -1.0597327, -1.2391903, -1.3995613, -1.5326525, -1.6386907, -1.7187833, -1.7758507, -1.8126947, -1.8324969, -1.8400245, -1.8366861, -1.8242501, -1.8061788, -1.7866018, -1.769206, -1.7499148, -1.7265034, -1.7005478, -1.6721039, -1.6418192, -1.6097044, -1.5758895, -1.5405083, -1.5036619, -1.4654422, -1.4259328, -1.3852173, -1.343379, -1.3005084, -1.2567021, -1.2120656, -1.1667169, -1.1207806, -1.0743927, -1.0276928, -0.98082435, -0.93393296, -0.88716435, -0.8406564, -0.7945378]",[3.3427558 2.6211858 2.5285544 ... 2.931875  3.106256  0.7969829]
2.01251,1.181847287,2.799571997,1.497694379,"[-0.5549664, -0.42663184, -0.2665325, -0.16980976, -0.09856047, -0.043661393, 0.0143246185, 0.07644849, 0.1354016, 0.19716166, 0.26093766, 0.32989734, 0.40442976, 0.48298365, 0.5644792, 0.6467829, 0.7288861, 0.81454784, 0.901783, 0.99001414, 1.0802275, 1.1694663, 1.257254, 1.3425671, 1.4241395, 1.5011096, 1.5728595, 1.6391108, 1.6996385, 1.754333, 1.8031776, 1.8462402, 1.8836623, 1.9156494, 1.9424579, 1.9643862, 1.9817574, 1.9949183, 2.0042233, 2.0100274, 2.0126774, 2.0125093]",[3.4713407 2.7428493 2.5918279 ... 3.2121227 3.267756  0.6974217]
-0.76747,1.208506022,2.830822484,1.574839311,"[-0.70537686, -0.7327605, -0.73181844, -0.7555504, -0.76560706, -0.7660634, -0.74895096, -0.7230317, -0.68736184, -0.6475865, -0.60793155, -0.5659938, -0.52584755, -0.4896894, -0.46256834, -0.44896924, -0.4487043, -0.44913545, -0.45330212, -0.46082819, -0.47172463, -0.48557782, -0.50202966, -0.520638, -0.5409428, -0.5624688, -0.58473676, -0.6072749, -0.62962776, -0.65136325, -0.6720826, -0.6914239, -0.70906854, -0.7247508, -0.738264, -0.74946773, -0.7582844, -0.7646886, -0.7687073, -0.77042013, -0.7699528, -0.7674724]",[3.2885838 2.6111345 2.4772966 ... 2.9699407 3.1013825 0.5388423]
-0.16127,1.20913261,2.849560536,1.431207496,"[-0.9104801, -1.0174892, -1.0879232, -1.1187484, -1.1122487, -1.0764586, -1.0169749, -0.93908846, -0.84658295, -0.74582994, -0.64142513, -0.53759956, -0.43693128, -0.34110877, -0.25414717, -0.18032959, -0.12053506, -0.071261495, -0.032684732, 0.00032996002, 0.027626507, 0.05190388, 0.0686356, 0.07809358, 0.07876104, 0.07188835, 0.059110545, 0.04249007, 0.023864452, 0.0050636483, -0.014302032, -0.03354875, -0.052409664, -0.071049325, -0.08878239, -0.105020806, -0.118946515, -0.12999764, -0.13960145, -0.14791131, -0.1550886, -0.16127428]",[3.1862683  2.4772232  2.360621   ... 2.9276595  2.8942263  0.19608945]
1.46737,1.194041116,2.853453956,1.500724398,"[-0.8311486, -0.9538069, -1.0098283, -1.0547258, -1.0619023, -1.0346296, -0.97733563, -0.8900068, -0.779714, -0.64959437, -0.5016374, -0.34022725, -0.16405275, 0.027626272, 0.22368112, 0.44387496, 0.6600274, 0.85059255, 1.014646, 1.1646018, 1.3004205, 1.4187744, 1.5194403, 1.602567, 1.668884, 1.7193825, 1.755249, 1.7777854, 1.7883681, 1.788425, 1.7794131, 1.7627938, 1.7400463, 1.7125785, 1.6818823, 1.6491418, 1.6154872, 1.5819919, 1.5496364, 1.5193032, 1.4916999, 1.4673711]",[3.468677   2.7609959  2.5944374  ... 3.2957842  3.308523   0.37825167]
0.75035,1.18669399,2.793604237,1.488016951,"[-0.8077973, -0.9395983, -0.9274863, -0.9321077, -0.8907181, -0.823967, -0.73523676, -0.6297333, -0.5112011, -0.38681448, -0.25759983, -0.12760785, -0.0026348047, 0.103194475, 0.20947626, 0.31049135, 0.39750302, 0.4626081, 0.5129873, 0.55725324, 0.595861, 0.6293732, 0.6583849, 0.683186, 0.70398736, 0.72093076, 0.73429847, 0.744417, 0.7516986, 0.75657344, 0.75937575, 0.7604933, 0.76036537, 0.7594374, 0.7581174, 0.7566439, 0.75515914, 0.7537644, 0.7525451, 0.75155807, 0.75082666, 0.7503511]",[3.286588  2.6686237 2.4744725 ... 3.17476   3.1422398 0.7802069]
0.26014,1.178260509,2.781029125,1.521031527,"[-0.80023617, -0.90551823, -0.9144521, -0.90226424, -0.8555026, -0.7820709, -0.6878838, -0.5860144, -0.48247275, -0.38343307, -0.29282078, -0.21035267, -0.13828823, -0.07692614, -0.027051158, 0.011333403, 0.046488293, 0.08246031, 0.11245987, 0.13724284, 0.15855366, 0.1770238, 0.19291788, 0.20646873, 0.21792115, 0.22748238, 0.23535922, 0.24175735, 0.2468695, 0.25088382, 0.2539698, 0.25628063, 0.25795317, 0.2591385, 0.25997722, 0.2605139, 0.26077932, 0.26085937, 0.26079658, 0.26063424, 0.2604055, 0.26013714]",[3.5987866  2.8909554  2.7669702  ... 3.0236812  3.1698298  0.63438034]
