Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
0.26117,1.3195780089572569,3.2810788944139415,1.7078453560027471,"[-0.59936327, -0.44510826, -1.5390466, -2.064865, -0.885743, -0.41161844, -0.89128715, -0.9465356, -1.3750066, -1.132579, -0.3678734, -0.09481935, -0.33864972, -0.6600079, -1.0437055, -0.51202273, -0.087075, -0.62770087, -0.4254504, -0.039952938, 0.22686958, 0.14247285, -0.13448302, 0.17586504, 0.31695554, -0.004976601, 0.33109516, 0.30969214, 0.16552553, 0.28592098, 0.22175531, 0.47212413, 0.4195624, 0.17024583, 0.35412523, 0.28074133, 0.11374999, 0.3824018, 0.33076617, 0.32218271, 0.29273555, 0.261172]",[3.7038581 2.7103016 2.6011286 ... 3.0941541 2.8380187 0.4902559]
-0.22639,1.3213448566093813,3.253638225632988,1.671625781740848,"[-0.17778374, 0.03513025, -0.16980615, -0.0939749, 0.056847077, 0.5725649, 1.084055, 0.5292839, 0.14753865, 0.17565618, -0.092174135, 0.54189366, 0.032686148, -0.26666763, -0.07426319, -0.30951053, -0.24152897, -0.029267898, -0.26028845, -0.25634593, -0.21592157, -0.27516636, -0.14573404, -0.36951625, -0.2713219, -0.348185, -0.37073395, -0.2814409, -0.2645472, -0.19848765, -0.25402546, -0.24064626, -0.3070558, -0.23956534, -0.23965286, -0.32236183, -0.22564837, -0.30512258, -0.2648246, -0.2759278, -0.2900233, -0.22638905]",[3.423399  2.601194  2.2902424 ... 3.7877705 2.527876  1.0979985]
-1.41893,1.3286775760415164,3.319694659339087,1.9038302301239747,"[-0.119834825, -0.27733624, -0.18580467, -1.153995, -1.2614112, -1.058169, -1.1512883, -0.93730336, -0.9822092, -1.0314822, -1.8783078, -1.4012274, -0.5448801, -0.8653666, -0.861181, -1.468127, -1.799434, -0.9965758, -1.2497646, -1.3995043, -1.3639501, -1.4967285, -1.3189133, -1.1251017, -1.2444336, -1.3821796, -1.3363664, -1.4925984, -1.4493928, -1.1251488, -1.3556261, -1.403945, -1.2474186, -1.4872825, -1.2691145, -1.253918, -1.5204505, -1.4256274, -1.4382095, -1.5144027, -1.366346, -1.4189285]",[2.879628  2.9291954 2.9928432 ... 2.9021387 3.4277685 1.5093188]
0.10148,1.2638803743002023,3.078245253383965,1.7659618028955395,"[-0.66656995, -0.51474, -1.3695085, -1.3027482, -1.0861243, -0.9067381, -1.0269855, -1.4423683, -1.4689592, -1.3122741, -1.271114, -1.0143802, -1.6414421, -1.5630513, -1.6775709, -1.3607239, -1.6025513, -1.4417747, -1.5198047, -1.1310217, -1.1746308, -1.0046281, -1.1621864, -1.0313045, -1.0289698, -0.8012578, -0.9228117, -0.80616367, -0.883333, -0.61113006, -0.6762514, -0.46590814, -0.546259, -0.37554315, -0.37060595, -0.22038512, -0.20426546, -0.08943762, -0.10484032, 0.022303155, 0.017476767, 0.10147753]",[3.4327247  2.594966   2.67969    ... 2.5713725  2.4834142  0.09542905]
0.69364,1.3761330574728123,3.525582767693722,2.0297391210595133,"[0.0037104385, -0.5457947, -0.61777073, -0.83779585, -0.79356325, -0.046758335, 0.2680951, 0.008011746, 0.2744659, 0.37526563, 0.9062437, 1.1823518, 1.1791573, 1.0594995, 1.0974487, 1.2112885, 1.0517937, 1.1027212, 0.82615936, 1.3878654, 1.2357135, 1.1796033, 1.2553048, 1.1958188, 1.2544531, 1.1529814, 1.2162435, 1.1462872, 1.2278146, 1.2339115, 1.1157545, 1.2182032, 1.0502971, 1.0792861, 0.97390544, 0.9534582, 0.9263093, 0.8504707, 0.87346685, 0.76236326, 0.7870079, 0.6936394]",[2.988156  2.53054   2.6931787 ... 2.6896384 3.4935987 1.2986603]
-1.27154,1.3331846033441632,3.3430267250536327,1.9057539412891773,"[-0.63990194, -1.1775283, -1.319126, -1.5370783, -1.3678733, -0.6051666, -0.6509398, -0.5377389, -0.5529798, -1.2207714, -0.79684687, -0.89563924, -0.27766472, -0.5693911, -0.6777984, -0.18683192, -0.4531744, -1.332005, -1.3022828, -1.3237834, -1.4741726, -1.55425, -1.426251, -1.359357, -1.1893502, -1.1989534, -1.2901239, -1.14955, -1.3768686, -1.2136986, -1.3486305, -1.1013393, -1.2007129, -1.2360474, -1.2603067, -1.2138011, -1.3691677, -1.3401551, -1.3372458, -1.3153473, -1.2983954, -1.2715411]",[3.492721  2.9573057 2.604759  ... 2.9263482 3.890813  1.4159414]
0.09525,1.2979262734583992,3.1957252230552453,1.8143195746252405,"[0.066766396, -0.7758382, -1.756506, -1.8444256, -1.3947664, -0.93115866, -0.33046016, -0.20430304, -0.72415453, -0.89839745, -0.14469741, -0.041387066, 0.12090667, -0.6253444, -0.8067233, -0.93308556, -0.3601425, -0.065682255, -0.2696971, -0.36761856, -0.058678824, 0.16444299, 0.06037924, 0.029430574, -0.11878943, -0.04034587, -0.069959246, 0.18112352, 0.053434253, -0.15034938, -0.018258061, 0.08403209, 0.21609299, 0.2313806, 0.24372064, 0.066185325, 0.105653584, 0.118424095, 0.18060769, 0.035976224, 0.09718986, 0.09524923]",[3.4804034 2.8177612 2.747167  ... 2.5586145 3.2273161 1.643995 ]
0.70746,1.3624784101034226,3.395764474386144,2.0717412007177427,"[-0.9011148, -0.91927963, -0.6679616, -0.6309411, -0.45078623, -1.062684, -0.7923219, -0.38475758, -0.8581235, -1.1551273, -1.3750439, -0.8548915, -1.2082494, -1.1700172, -1.0338289, -0.7582805, -1.1038498, -1.0705281, -0.9301211, -0.7638763, -0.57310814, -0.75845486, -0.71678174, -0.4487781, -0.36011046, -0.18954848, -0.20475435, -0.08887486, -0.15439689, -0.041862946, 0.07964237, 0.29129136, 0.34595472, 0.36869377, 0.4799486, 0.43031102, 0.49269637, 0.57780313, 0.5834748, 0.61329484, 0.61674625, 0.707458]",[3.2144685 3.1777678 2.594663  ... 2.5076349 3.1254063 1.329207 ]
-1.2562,1.3166199436068853,3.2265186649079167,1.83877868311641,"[-0.19402361, -1.0824348, -1.0912418, 0.22979036, 0.08678537, 0.5284757, 0.8275329, 0.20150587, -0.30704877, 0.16588572, -0.38207778, -0.72998804, -0.63765585, -0.6150847, 0.04947479, -0.019799892, -0.4517958, -0.69674224, -0.88341475, -0.6085085, -1.0026321, -1.2097814, -0.8072737, -0.9241878, -0.79660827, -0.9381962, -0.9826094, -0.9469386, -0.93577313, -0.9085604, -1.0633541, -1.0450821, -1.0772909, -1.0652174, -1.0432067, -1.1843262, -1.1153325, -1.1879284, -1.2104958, -1.207174, -1.3585739, -1.2561991]",[3.534192  1.7766191 3.078463  ... 2.1199632 3.2464747 0.8597444]
-0.97214,1.3100413146386602,3.230699764021157,1.7359191559564242,"[-0.5620035, -1.2516671, -1.7050458, -1.4267842, -1.3889072, -2.1573153, -2.2007406, -1.5622483, -0.9915726, -1.1059009, -2.2870157, -1.7729576, -1.1516739, -1.0017334, -1.3095121, -1.2815077, -0.84704226, -0.93685126, -1.287045, -1.2930771, -1.0998025, -0.96354866, -1.4397634, -1.3683852, -1.3833491, -0.9699148, -1.0022885, -1.256603, -1.1075466, -1.0294213, -0.87472266, -1.0377198, -1.1477177, -0.8543507, -0.95946175, -0.96222776, -1.0854056, -0.96587366, -0.79920083, -0.9884345, -0.9438959, -0.97214335]",[3.1170552 2.92533   2.8024073 ... 3.0749366 3.4703028 1.930325 ]
