Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
-2.75184,1.2650318262168496,3.054345375539662,1.7218915033992468,"[-0.7593137, -0.9111341, -1.4887187, -0.6060848, -0.86603904, -1.5950704, -1.5913988, -1.6987838, -2.226921, -2.2406301, -2.2886264, -2.4011006, -2.522109, -2.2798684, -2.3337717, -2.3366482, -2.2201045, -2.17995, -2.2657495, -2.2295525, -2.296959, -2.3465137, -2.3973298, -2.4089084, -2.4741917, -2.496593, -2.5095675, -2.5205946, -2.5518281, -2.5501053, -2.5771625, -2.5923622, -2.611342, -2.6279655, -2.6544132, -2.6670399, -2.6852696, -2.6991556, -2.7166705, -2.7259786, -2.7411597, -2.7518437]",[3.7746282 2.652205  2.914825  ... 2.564388  3.5223112 1.0203449]
-1.30107,1.222109440720342,2.9420987041667224,1.4425338954831617,"[0.04369806, -0.53025126, -1.5783995, -1.5476545, -1.2777202, -0.9195705, -0.8239847, -0.9238365, -1.2392043, -1.1907624, -1.0738652, -1.3233219, -1.3956137, -1.2776065, -1.2910396, -1.3060575, -1.2957232, -1.2907679, -1.2964197, -1.3016766, -1.3027707, -1.3178506, -1.3178287, -1.307443, -1.3142425, -1.3151287, -1.3092341, -1.309865, -1.3106146, -1.3096507, -1.3092257, -1.3091378, -1.3083223, -1.3070686, -1.3067676, -1.3058772, -1.3045228, -1.3040317, -1.3033648, -1.3023939, -1.3017337, -1.3010708]",[3.5072193 2.7537892 2.546194  ... 3.215087  3.023169  0.6452183]
-0.57551,1.2394691026889275,2.9983651076736497,1.5819181511432527,"[-1.0492809, -1.278774, -0.99856037, -1.4017168, -1.8053043, -1.6544033, -1.0005944, -0.8418679, -0.67251754, -0.7482085, -0.6569222, -0.5689255, -0.460831, -0.49345523, -0.4179785, -0.4072116, -0.388613, -0.401302, -0.3823436, -0.40768713, -0.3829428, -0.41209918, -0.40784836, -0.42602918, -0.42451254, -0.44693372, -0.4419303, -0.46626666, -0.46406773, -0.48253372, -0.48441744, -0.50104743, -0.5016376, -0.5188384, -0.5190301, -0.5340188, -0.5359374, -0.54857206, -0.5507012, -0.5627855, -0.56434023, -0.57550853]","[ 3.727521    2.6908205   3.029411   ...  2.311984    3.3133273
 -0.03019558]"
-1.40981,1.264564925596315,3.0824287023587096,1.6932177275185787,"[-0.03257188, 0.54295367, -0.105603084, 0.25618434, 1.2095486, 1.3119612, 0.9252269, 0.93195444, 0.4099935, 0.3291139, 0.27193543, 0.20576896, 0.012929525, 0.22071701, 0.24350476, 0.26160872, 0.15093447, 0.115643844, 0.03949267, 0.012997676, -0.034662493, -0.088055946, -0.09864354, -0.14737652, -0.21841748, -0.29888675, -0.3637816, -0.43924275, -0.51784456, -0.5919698, -0.6753257, -0.754851, -0.84130675, -0.9294215, -1.0170426, -1.0976884, -1.1674562, -1.2325522, -1.2870061, -1.3350943, -1.3758208, -1.409807]",[3.4709814  2.8142955  2.59171    ... 2.6548107  3.656441   0.48461464]
-2.04667,1.2472164348430892,3.0408872513092082,1.576646241279076,"[-0.36421055, -0.8644199, -0.7572312, -1.1844066, -1.725795, -1.8954338, -1.7851448, -0.34355408, -0.9249367, -0.52721566, -0.56342834, -0.6167098, -0.5530028, -0.7806588, -0.5743333, -0.5098545, -0.49761075, -0.6405819, -0.616677, -0.75086427, -0.80616784, -0.86379045, -0.96807206, -1.0433255, -1.158822, -1.2653719, -1.368756, -1.4494181, -1.5569271, -1.6312785, -1.7092556, -1.7835027, -1.830887, -1.883937, -1.922688, -1.9507746, -1.9744984, -1.992997, -2.0046701, -2.0200624, -2.0351195, -2.0466738]",[3.5809062 2.7792897 2.9963713 ... 2.2037466 3.0495133 0.986577 ]
-2.12731,1.2742334053702546,3.048066881624474,1.8897467253971594,"[0.07994558, -0.57207024, -0.8154681, -0.42680195, -0.40999052, -0.26320606, -0.39872465, -0.32505473, -0.5467178, -0.3982664, -0.6169824, -0.5932123, -0.65635943, -0.7624286, -0.7753016, -0.94534355, -0.92577404, -1.0625539, -1.0992186, -1.1865851, -1.2735064, -1.3032967, -1.3987176, -1.4121274, -1.4723903, -1.4963909, -1.5304211, -1.5653555, -1.590316, -1.6326289, -1.6639693, -1.7108165, -1.749922, -1.7968032, -1.8414156, -1.8857797, -1.9307789, -1.9713842, -2.013699, -2.0516477, -2.0905983, -2.1273124]",[3.21631   2.6848588 2.6122181 ... 2.9483874 2.7829728 1.400421 ]
0.0093,1.2926593957943262,3.1826018415837676,1.6972309189135901,"[-0.6248015, -0.8377971, -1.6799196, -1.9816966, -1.6548421, -0.9917863, -0.31472227, -0.54262716, -0.38497338, -0.12763713, -0.20555814, -0.2914386, 0.100611, 0.17130283, 0.026241027, 0.086943224, 0.25786364, 0.18270631, 0.08537923, 0.1667592, 0.18823704, 0.057154093, -0.013429921, -0.04824823, -0.10422695, -0.08567375, -0.11242585, -0.1311865, -0.09036459, -0.06938271, -0.06520289, -0.06589672, -0.044994004, -0.04256649, -0.03911315, -0.029723082, -0.024977578, -0.021084923, -0.01289081, -0.0065692645, -0.0026215008, 0.009301234]",[3.364845   2.6874921  2.6556716  ... 3.2431617  3.1484447  0.32007194]
0.74263,1.2988661020479524,3.210089065671689,1.7040339057905587,"[-0.53986835, -1.1419592, -1.768623, -2.1427853, -1.7859919, -1.4091834, -1.3234004, -1.5536373, -1.9264337, -1.5100884, -1.3952708, -1.5914404, -1.7075812, -1.6199255, -1.438633, -1.3629156, -1.3210388, -1.3248761, -1.2538003, -1.0365912, -0.98345363, -0.9656941, -0.89125186, -0.75617594, -0.6487172, -0.56934875, -0.48862424, -0.4348633, -0.31940597, -0.21252412, -0.12910159, -0.045033596, 0.0710985, 0.17724739, 0.26770154, 0.33813936, 0.38266394, 0.43736875, 0.5025546, 0.5703092, 0.65335053, 0.74263114]",[3.219299   2.8712568  2.9806478  ... 2.9252965  3.105204   0.62299746]
-0.71878,1.2572730457349832,2.9816920576386714,1.8233944606735049,"[-0.8031125, -1.1170402, -1.2919505, -1.4336838, -1.6398964, -1.5762044, -1.3367257, -1.1134337, -1.3043199, -1.2169623, -1.0800557, -1.1123327, -1.1208596, -1.0814105, -1.0354762, -0.99193096, -1.0094211, -0.9392606, -0.94604903, -0.93887615, -0.92194504, -0.9190798, -0.9177572, -0.90488476, -0.9019128, -0.88627213, -0.88048136, -0.8653399, -0.8542991, -0.84339565, -0.83204365, -0.8203467, -0.81130314, -0.7997809, -0.7906776, -0.7799452, -0.77024466, -0.7599082, -0.74976385, -0.7393922, -0.7293174, -0.7187804]",[3.670665  2.812817  2.8036532 ... 3.3325474 3.347687  0.6126399]
-0.93135,1.2880787121224602,3.1713546048877372,1.7291775828887972,"[-0.9890958, -1.394177, -2.0743413, -2.7003946, -2.9382975, -1.9181681, -1.5680907, -1.7989358, -2.104668, -2.044554, -1.8316603, -1.7875094, -1.9516928, -2.106386, -2.0635848, -1.8161752, -1.7314177, -1.751012, -1.7441345, -1.6472607, -1.5337368, -1.4768287, -1.4877199, -1.492582, -1.4511081, -1.3791057, -1.3532044, -1.3460379, -1.3239894, -1.2778004, -1.2284535, -1.1929207, -1.1732469, -1.1487044, -1.11352, -1.0762515, -1.0524927, -1.0331038, -1.0101358, -0.9822474, -0.9548272, -0.93135273]",[3.4567304  2.9222884  2.5427954  ... 2.7679186  3.4894607  0.44427967]
